id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,total_host_listings,availability_365,reviews_in_last_yr
16595,64522,Brooklyn,Williamsburg,40.7092,-73.96641,Entire home/apt,564,1,237,1,341,33
107630,306739,Brooklyn,Greenpoint,40.72741,-73.95466,Entire home/apt,209,3,320,2,95,30
107895,3088389,Manhattan,Upper West Side,40.78073,-73.98564,Entire home/apt,166,90,63,1,330,2
16821,4396,Manhattan,East Village,40.72281,-73.98501,Private room,218,1,162,2,30,35
16974,65837,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300,5,254,1,42,26
17037,66035,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,220,30,53,1,103,0
17693,68428,Manhattan,Washington Heights,40.83253,-73.94108,Private room,75,2,63,2,319,3
18152,69942,Manhattan,Upper East Side,40.76967,-73.94831,Private room,200,30,148,1,365,0
60181,128806,Manhattan,East Village,40.7253,-73.98028,Entire home/apt,195,31,38,1,0,1
60457,99212,Manhattan,Greenwich Village,40.73072,-73.99275,Entire home/apt,250,30,10,1,0,0
110576,568103,Manhattan,Financial District,40.70104,-74.01168,Private room,140,45,53,1,311,0
60611,292204,Manhattan,East Harlem,40.79204,-73.94741,Entire home/apt,110,30,192,3,86,1
60666,256161,Manhattan,Harlem,40.81006,-73.94559,Private room,111,3,241,2,38,22
18728,71876,Manhattan,Chelsea,40.74261,-74.00353,Private room,175,4,221,1,279,28
112304,573316,Manhattan,Harlem,40.8069,-73.95372,Private room,90,30,1,1,0,0
18961,70857,Manhattan,Kips Bay,40.73808,-73.98001,Private room,95,30,1,1,0,0
19159,73051,Manhattan,Harlem,40.82817,-73.95133,Entire home/apt,110,180,58,1,333,0
60673,249372,Manhattan,Harlem,40.81562,-73.94674,Private room,125,30,3,1,0,0
60680,292630,Manhattan,East Village,40.72598,-73.97978,Entire home/apt,160,30,165,2,328,2
112435,181376,Brooklyn,Fort Greene,40.69132,-73.97306,Private room,95,30,177,2,343,0
60794,293394,Manhattan,Upper West Side,40.79918,-73.96248,Entire home/apt,211,30,4,1,0,0
19812,74857,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105,30,61,1,280,0
113092,575906,Brooklyn,Fort Greene,40.6905,-73.97867,Private room,90,30,0,1,0,0
20913,79402,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,80,30,168,1,0,0
61509,23619,Manhattan,Midtown,40.75743,-73.96825,Entire home/apt,110,200,92,1,0,0
62427,303882,Manhattan,East Village,40.72825,-73.98959,Entire home/apt,130,30,62,1,165,1
113265,314582,Brooklyn,Crown Heights,40.67582,-73.9518,Private room,55,30,273,2,326,3
62891,306545,Manhattan,East Village,40.72297,-73.98265,Entire home/apt,175,4,215,2,243,9
62925,306739,Brooklyn,Greenpoint,40.72967,-73.95352,Entire home/apt,288,3,152,2,95,10
63588,295128,Bronx,Clason Point,40.81161,-73.85499,Private room,89,30,0,6,15,0
21456,42032,Manhattan,Upper West Side,40.79936,-73.96155,Private room,88,30,85,1,243,1
115535,567187,Manhattan,Harlem,40.82402,-73.95263,Private room,65,30,34,1,239,0
116551,497672,Manhattan,Harlem,40.80384,-73.95123,Entire home/apt,70,30,173,1,45,2
21644,82685,Manhattan,Harlem,40.82782,-73.9473,Private room,99,30,3,1,0,0
21794,83257,Manhattan,Chelsea,40.74187,-74.00223,Private room,85,30,36,2,282,0
63610,310670,Bronx,Eastchester,40.881,-73.83511,Entire home/apt,99,2,53,6,360,6
118061,2248897,Brooklyn,Bedford-Stuyvesant,40.68462,-73.92895,Entire home/apt,120,30,89,1,254,5
63657,170510,Brooklyn,Bedford-Stuyvesant,40.68253,-73.94295,Entire home/apt,135,30,268,2,0,0
63693,306545,Manhattan,East Village,40.72219,-73.98245,Entire home/apt,390,7,153,2,159,0
23135,11481,Brooklyn,Carroll Gardens,40.67747,-74.00146,Entire home/apt,248,3,285,3,334,19
23686,93790,Manhattan,West Village,40.72961,-74.00308,Entire home/apt,600,5,55,2,23,3
121687,262812,Brooklyn,Williamsburg,40.71983,-73.95992,Entire home/apt,175,30,57,1,29,0
64000,312722,Brooklyn,Williamsburg,40.70705,-73.95489,Private room,55,30,14,3,310,0
121861,611716,Brooklyn,Park Slope,40.6755,-73.98137,Entire home/apt,165,2,28,2,74,2
64015,146944,Manhattan,East Village,40.72863,-73.9842,Entire home/apt,200,30,0,1,0,0
64107,313317,Brooklyn,Crown Heights,40.67582,-73.94316,Private room,100,3,308,1,1,0
24285,97797,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,220,30,93,1,81,3
25406,105538,Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,83,30,29,1,0,0
25696,107628,Manhattan,Harlem,40.8104,-73.94309,Private room,100,1,190,1,0,0
26362,59734,Manhattan,Hell's Kitchen,40.75603,-73.99294,Private room,85,2,461,2,257,60
123784,617990,Manhattan,Harlem,40.80617,-73.94757,Entire home/apt,102,3,223,1,265,33
26785,42273,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90,30,479,3,129,3
64314,314256,Brooklyn,Crown Heights,40.67634,-73.95143,Private room,75,30,45,1,306,0
64365,314582,Brooklyn,Crown Heights,40.67579,-73.95072,Private room,60,30,251,2,289,7
64837,46978,Manhattan,East Village,40.72497,-73.98356,Private room,79,7,243,2,36,23
125163,622855,Brooklyn,Bedford-Stuyvesant,40.68595,-73.92923,Private room,99,3,62,2,325,12
65268,319092,Brooklyn,Bedford-Stuyvesant,40.68305,-73.95195,Private room,75,5,63,1,162,0
27644,119510,Manhattan,Harlem,40.82682,-73.94948,Entire home/apt,190,2,232,1,283,18
126443,627217,Manhattan,East Village,40.72761,-73.98951,Entire home/apt,459,2,516,3,255,60
65425,314941,Manhattan,Nolita,40.72021,-73.99426,Entire home/apt,568,1,11,2,350,10
126816,620288,Manhattan,Upper West Side,40.79907,-73.96517,Private room,85,30,3,1,0,0
65615,320761,Brooklyn,Williamsburg,40.7106,-73.95178,Entire home/apt,85,10,56,1,0,0
27883,120223,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100,30,25,1,0,0
127387,23276,Brooklyn,Gowanus,40.66895,-73.99136,Entire home/apt,260,30,3,1,221,0
28907,124352,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150,30,21,1,250,0
29013,35935,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,80,30,70,5,262,3
29628,127608,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,89,3,325,1,251,39
65660,320538,Brooklyn,Williamsburg,40.70797,-73.94792,Entire home/apt,106,30,162,2,82,4
132516,85330,Queens,Forest Hills,40.7106,-73.85246,Entire home/apt,123,5,69,3,212,22
65813,321756,Manhattan,Harlem,40.82899,-73.94345,Private room,75,3,20,1,244,0
29683,125857,Manhattan,Lower East Side,40.72314,-73.99108,Entire home/apt,185,30,118,2,304,2
31130,117287,Manhattan,Hell's Kitchen,40.7672,-73.98464,Private room,171,28,68,4,254,1
132661,651818,Manhattan,Hell's Kitchen,40.75587,-73.99399,Private room,62,8,81,1,41,7
66008,322884,Brooklyn,Carroll Gardens,40.68028,-73.99328,Entire home/apt,190,30,68,1,218,0
133025,653405,Manhattan,Murray Hill,40.74564,-73.97782,Private room,68,30,145,1,26,5
66251,324460,Manhattan,East Village,40.72547,-73.98619,Entire home/apt,368,3,144,1,49,32
134934,652842,Brooklyn,Williamsburg,40.71771,-73.95849,Entire home/apt,250,5,27,1,0,0
135465,663879,Brooklyn,Fort Greene,40.68646,-73.97548,Entire home/apt,170,3,119,1,265,9
